Table 1
Subject,PUNISH_MEAN_MEDIAN_RT_LARGER,PUNISH_MEAN_MEDIAN_RT_SMALLER,REWARD_MEAN_MEDIAN_RT_LARGER,REWARD_MEAN_MEDIAN_RT_SMALLER
0,651.75,577.75,620,607.75
1,221.5,223.5,252.5,288.25
2,466.5,434.25,428.25,467.5
3,496.5,407.5,445,414.5
4,324.25,338.25,354.25,341
5,416.5,462.25,338.5,370.5
6,537.75,492.25,605,502
7,369,334,298,338.5
8,315.5,350.5,357,410
9,356.5,398.5,232,372.75
10,424.5,413.25,389.5,479.75
11,403.75,400.5,401.75,363.5
12,463.5,546.5,553.5,507.5
13,370.25,426.5,360.75,383.75
14,275.25,288.5,387.5,310.5
15,296.75,313.75,332.5,332.5
16,415,467.75,461.5,450.75
17,254.5,294,285.25,265.5
18,400.5,551.25,517,494
19,427.25,534,605,571
20,313.75,354,355.5,334.5
21,344,337,371,380
22,509.25,495.75,484,546.75
23,536.25,655,525.25,630.5
24,537.25,465.25,628,509.25
25,465.25,539.75,439.25,516.75
26,267.5,309.25,240,261.5
27,618,500.5,746,548
28,,518.75,,470.25
29,277,340,309.5,419
30,275.75,325.5,291,295.75
31,431.5,552.25,477,519
32,469,303.25,348.75,333.5
33,205,228.5,233.5,224.5
34,579,450,554.5,596.5
35,390.75,426,370,425
36,335.5,371.75,364.5,417.25
37,475.5,451,394.5,458.5
38,359.75,450.25,350,422.75
39,373,335.25,384.75,379.25
40,411.75,529,411.5,416
41,223.25,226.75,258.75,277.75
42,480.75,512,553.75,493.75
43,233.5,230,404,308
44,355,425.75,468,406.5
45,524.5,649.5,653.25,568.5
46,529.75,631.25,338,405.5
47,406,385,418,495
48,489,473.5,534.5,601
49,576.5,499.25,456.5,538.5
50,527.25,428,487.25,411
51,394,388.5,568,454.5
52,351.75,272.75,286.5,307
53,235.5,218,354.5,413
54,435.75,510,580.5,687
55,394.75,348,420,355.75
56,315,403.5,433.5,457
57,428.75,346.5,455.5,393
58,261.5,252.25,254.75,317.75
59,277.5,272,303.5,287.25
60,288,279,374,410.25
61,525.5,553.5,509.75,620.5
62,251,263.5,300.5,306.75
63,317,300,308,301
64,459.75,393.25,455.25,498.75
65,269.5,281.25,282,277
66,345.5,447,428,452
67,309.5,327.75,441.75,400.5
68,243,270,302.5,259
69,547,410.5,372.5,419.5
70,551.5,388.75,405.5,505
71,434.75,320.5,,364.75
72,421,462,492.25,455.75
73,344,340.5,376.75,312.75
74,510.5,528.5,576,586.75
75,837.25,466.25,504.5,525
76,360.5,368.5,328.75,431
77,362.25,414,342,359.75
78,548,502.5,696.75,591.5
79,404.25,405.25,490,464
80,343.5,331,329.75,321.5
81,333.25,340.25,361.25,334.75
82,586.75,575.25,572.5,593
83,445.5,393.75,402.25,500.75
84,414,404.75,382.5,447
85,366.25,511.25,399.5,448.25
86,527.25,497.5,544.5,600.75
87,392.25,400.5,489.5,393.75
88,568.75,533.5,594.75,484
89,332.5,314,304.5,299.5
90,459.5,527.75,449.5,499
91,377.75,313.25,319.5,312.5
92,445.25,367.25,427,441.5
93,218.5,267.5,256.5,
94,409.5,354.5,301,471.25
95,439.5,328.25,368.5,434.5
96,262,255,297.75,279.25
97,362.25,394.5,421.75,385.5
98,433.75,499.25,494,552.5
99,270.5,297,294.25,298.5
100,286,283.5,298.75,337.5
101,237.25,272,306.5,243.5
102,392,402.25,506.25,339
103,360.75,416.25,354.75,329.5
104,370.25,384,348.25,367
105,398,285.75,455.75,495.75
106,309.5,280.5,435,317.75
107,347.5,381.5,392.5,352.5
108,252.25,261.5,325.5,281.5
109,437.75,533,529,530.75
110,597.5,459.5,531.25,593.5
111,310,405,337.75,474.5
112,279.75,330.5,296.75,325
113,432,431.5,469,443
114,251,256.25,311,252.5
115,409.5,472.25,426.25,574
116,535.5,509.5,505.5,580.75
117,283,341.5,345.5,405.5
118,312.25,315.25,354.25,343.75
119,293,290,314.5,287
120,408.25,421.75,528.25,574.75
121,505.25,506,627.25,503.5
122,306,302.5,271.5,311
123,634.75,533.5,690.75,760.75
124,270,322.5,289,283.5
125,323.75,311.5,361,301
126,356.5,341.5,395.5,374.25
127,358,316,339.5,254.25
128,328.5,391.5,323.75,405.25
129,587.5,506,494,451.5
130,360.5,382.5,406,708
131,426.25,448.25,437.5,339
132,438,420.5,380.75,463.5
133,225.75,228,252.5,228
134,345.5,342.75,268.75,393
135,469.5,291,441.75,452.5
136,420.5,351,405.5,362.25
137,317.5,277,379,417.5
138,395.5,409.25,387.75,369.75
139,238,263.75,277.75,227
140,556.75,451.25,522,489
141,293.5,246.5,296,302.5
142,227.25,269,279.25,262.5
143,261.25,265.25,316.5,261.75
144,304.75,310.5,375.75,401.25
145,215.5,,212,
146,591.25,585.25,620,636.75
147,652,730,754,666.5
148,293,330,341.75,375.75
149,392,445,463.25,411
150,339.25,343.75,343.5,372
151,263.25,331.5,335,404.75
152,292,323,393.5,346
153,535,507.5,492.75,601
154,237.5,648.5,277.25,295
155,325,394,408.25,375
156,335.5,379.25,357,309.5
157,251.75,296.5,281.5,260.5
158,490.25,510,541,500.5
159,539.5,475.5,506,497.75
160,351,387.75,401.25,404
161,406.25,382.25,345,385.5
162,446.5,394.5,393,515.75
163,305,280.25,279.5,261
164,419.5,470,481,346.5
165,533,517.5,580.75,643.25
166,239.5,260.5,255.5,246
167,201,235,249.5,256
168,549.25,548.75,446.25,586.25
169,282,289.5,252.5,366.25
170,356.25,317,318.5,
171,452.25,425.75,500,550.75
172,469,407.5,573.75,528.75
173,314,275,297.25,299.5
174,602,579,698.75,659.25
175,410.5,474,351,483
176,598,651,581.25,609
177,410.5,524,386.25,439.5
178,425.25,408.75,410,427
179,434.25,441.75,439.25,447.5
180,336,322.75,296,462.75
181,298.5,279.75,328,340.25
182,235,248.5,237,289
183,491.5,506.25,460.5,492.25
184,506,461.75,557.5,416.5
185,223,446,583,365.5
186,313.5,344,518.75,414.25
187,339.5,336.75,374.5,342.5
188,567.75,459.5,528.25,505.5
189,494.5,645,582,603.75
190,557.5,702.5,569.5,540
191,246,227.5,244.25,274.25
192,368.25,386.5,347,392.75
193,300.5,351.75,288,355.25
194,385.5,260.5,283.25,351.25
195,335,347,316.75,351.5
196,322,296,304,307.5
197,387.25,396.25,400,379
198,,342.25,,349
199,307.25,324.25,311,310
200,249.5,287.75,333.75,319.75
201,363.25,366.75,400.75,339.75
202,342.75,382,312.5,376
203,289.5,329.5,343,314.75
204,312.25,268.5,297,348.25
205,437.5,333.75,308.5,360.5
206,446.25,367.5,374,353
207,305.75,357.5,420,347
208,427.5,511,426,394.5
209,536.75,606.5,593,546
210,409.75,398,532.5,481
211,518.5,577.5,581,601
212,467,443.25,599,599
213,703.25,547.75,640.75,653.25
214,,386,,371.25
215,520.75,640.25,565.5,564
216,237,258,305.5,248.75
217,467.5,522,406.5,609
218,356,390.5,402.5,388
219,433.25,403,372,423.75
220,363,426.75,391,441.5
221,267.75,269.75,272,292
222,440.5,507,531.5,515.25
223,250.25,269.5,297.75,276.75
224,318.5,320.25,300,379.25
225,276.75,282.5,369.25,301.25
226,535.25,516.25,495.5,411.25
227,451.75,401.25,469.75,440.25
228,588.25,682.5,557.75,550.25
229,358,294.5,320.5,325.5
230,288.5,283,328,318.75
231,314,355.5,415.5,383.5
232,360.5,266,356.5,312
233,354,486.5,509.25,493.5
234,388.75,302.5,404.5,417.5
235,416.75,435,430.5,430.5
236,677.5,613,698.5,457
237,,317.25,,304.5
238,228.75,288.25,293,245
239,428.5,514,533.25,442.5
240,228,289,254.25,238.5
241,344.5,355.5,366,347.75
242,647.5,768,707.25,766.5
243,472.25,487.5,570,546
244,330,237,356,387.25
245,820.75,670.75,760,808
246,522.5,493.25,587.5,740
247,324.75,370.75,295.75,288.25
248,293.25,292.25,296,286
249,470.25,558.75,447.5,473.75
250,260.25,393,355.25,456.75
251,523.75,538,526.5,465.25
252,356.75,,321,
253,219.5,252.5,290,337.75
254,600.75,532.75,481,568
255,438.75,492,629.75,494.75
256,368.25,325.75,390.75,393.75
257,298,297.25,311,334.5
258,242.5,254,332.5,349.5
259,300.25,329.75,287.25,277.5
260,486,432,511.5,449.5
261,382,397.75,438,390.25
262,381,427.25,408,415
263,257.25,292.5,279.5,384.75
264,230,242,264,270.5
265,339.75,363.5,340.25,354.5
266,250.25,248.25,238,228.25
267,346.75,386,314.75,426.75
268,645,678,556.5,593.5
269,327.25,348.25,451.25,411.25
270,281,290,268.5,296
271,486.25,608.5,423,535
272,381.75,398,433,407.5
273,493.25,380.5,377,374.5
274,254,246.5,282,246
275,297.25,281,327.5,284
276,402,437,361.5,357
277,387,274,318.5,287.25
278,311,326.75,466,324.75
279,514.5,483,425.75,538
280,352.75,361.75,372.25,372.75
281,302.75,293.5,252,287.75
282,516,545.5,640.5,520.5
283,304,422.5,342.5,341.5
284,407.25,402.25,536.75,571
285,452.5,398.5,415.25,402.5
286,391.5,451,392,441
287,263,315.25,354.5,260.5
288,228.25,218.25,233,241.5
289,488,559.5,487.25,603.5
290,,350.75,,390.75
291,308.5,304,366,350.5
292,620,606.25,706.5,627.5
293,466.25,443.25,497.5,416.5
294,592.5,477.25,479.5,488
295,291.5,261,327.25,374.5
296,733.25,567.5,561,562
297,334.5,311,373,331.25
298,218.5,399.75,254.75,239.75
299,291,256.75,302,309.5
300,234.5,276,221.75,216.5
